token,feature_index,count_0,count_1,freq_0,freq_1,log_odds_ratio,variance,z_score
god <pronoun>,7790,465,482,2.7152426892674514e-05,0.00011468157305049654,-1.440780279524807,0.00422552238433399,-22.164480274417482
eat meat,6084,109,314,6.3647624329064994e-06,7.470957248517823e-05,-2.4628993715495433,0.012359319770957559,-22.15385880744561
love,10928,64497,18984,0.0037661291984878026,0.004516836063880967,-0.182517821342703,6.847814407855625e-05,-22.056128604975257
hot question,8839,276,384,1.6116279187910034e-05,9.136457272072753e-05,-1.7351029467529226,0.006227650799895532,-21.98685544282427
this woman,17205,16,990,9.342770543715962e-07,0.00023554928904562567,-5.530134002403933,0.0635102130934702,-21.943902754372132
factory,6631,69,311,4.0290697969775084e-06,7.399578676079756e-05,-2.9105422151846483,0.01770848011907133,-21.87173617646442
<pronoun> personality,1318,508,495,2.966329647629818e-05,0.00011777464452281283,-1.3789504743406713,0.003989001933646096,-21.83315737193072
beauty,3648,124,300,7.2406471713798704e-06,7.137857243806838e-05,-2.2883509945242455,0.011398144286827134,-21.434115347456007
cant i,4493,20,630,1.1678463179644953e-06,0.0001498950021199436,-4.854920847876345,0.05158752167800459,-21.375182017710557
broad city,4157,61,300,3.5619312697917107e-06,7.137857243806838e-05,-2.9977622476928723,0.019727067557541875,-21.34351384184878
bad,3112,9739,3619,0.000568682764532811,0.0008610635121778982,-0.41513803930090987,0.0003792958765438183,-21.315889937368915
<pronoun> seem,1350,2886,1413,0.00016852022368227666,0.00033619307618330206,-0.6907974703935107,0.0010545107155461725,-21.272828553619643
who be,18662,2329,1213,0.00013599570372696548,0.0002886073612245898,-0.7525963877890423,0.0012540673901270919,-21.25209223335997
beautiful and,3643,47,316,2.744438847216564e-06,7.518542963476537e-05,-3.310452786511167,0.02444144117053461,-21.175028001057303
boob,4013,101,287,5.897623905720701e-06,6.828550096575209e-05,-2.4492100114603286,0.013385604989750484,-21.169325642186752
chicken nugget,4693,205,330,1.1970424759136076e-05,7.851642968187522e-05,-1.880935217069041,0.007908647323786449,-21.150602014674636
sneaker,15135,128,293,7.4742164349727695e-06,6.971307241451345e-05,-2.2329905385943167,0.011225764186441702,-21.075550406709382
move,11654,1747,988,0.00010201137587419866,0.00023507343189603855,-0.8349465675548657,0.0015848518037871484,-20.973183394524657
be vegan,3586,656,542,3.830535922923544e-05,0.0001289572875381102,-1.213981929089993,0.0033697047261128247,-20.912998124860355
hold <pronoun>,8721,141,293,8.233316541649692e-06,6.971307241451345e-05,-2.136260165005238,0.010505462942202323,-20.842343284336035
endgame,6231,44,309,2.5692618995218897e-06,7.351992961121044e-05,-3.35400831283647,0.025963806298220145,-20.81516962949128
hot,8808,66403,19295,0.003877424952589819,0.004590831850641765,-0.169606385913589,6.718409246967406e-05,-20.69230982668486
klaus,10252,418,426,2.4407988045457952e-05,0.0001013575728620571,-1.423820905468256,0.004740058239823887,-20.680618652325215
t i,15863,263,347,1.535717908123311e-05,8.256121545336576e-05,-1.6820239678506468,0.00668442143958798,-20.573125160092395
pretty,13507,5131,2134,0.00029961097287379125,0.0005077395786094597,-0.5276919258596227,0.000663793715737795,-20.481600030295976
south african,15407,55,273,3.211577374402362e-06,6.495450091864223e-05,-3.006986170783584,0.02184511289115408,-20.34484025000941
suck on,15731,69,263,4.0290697969775084e-06,6.257521517070661e-05,-2.7428919483486105,0.018295327833432757,-20.278629551633394
a date,1711,87,261,5.080131483145554e-06,6.20993580211195e-05,-2.5034552238631065,0.015325964438807566,-20.222084526535095
like <pronoun>,10555,7996,3007,0.0004669049579222052,0.0007154512244042388,-0.4270363267437567,0.00045791635074398556,-19.95591958515206
i love,9083,27393,8599,0.001599540709400071,0.0020459478146498335,-0.24659180705456052,0.00015309514589239605,-19.92957019396699
<pronoun> nose,1300,356,379,2.0787664459768016e-05,9.017492984675972e-05,-1.4674608985503106,0.005447807023165574,-19.881799069790848
babe,3078,95,253,5.547270010331352e-06,6.0195929422771e-05,-2.3843531794062507,0.01447917923211707,-19.815206979857987
suck,15724,2786,1324,0.00016268099209245418,0.00031501743302667513,-0.6609890704313415,0.0011145208244833166,-19.799315887493048
star war,15522,64,249,3.7371082174863848e-06,5.9244215123596756e-05,-2.763411190678239,0.019641356772666096,-19.717859593543277
a crush,1702,74,247,4.321031376468632e-06,5.876835797400964e-05,-2.6101635891000523,0.01756238984943153,-19.69590407396987
<pronoun> vegan,1426,147,271,8.58367043703904e-06,6.44786437690551e-05,-2.0165281091950344,0.010493053151675794,-19.685812478197153
i can,8993,5391,2180,0.0003147929750073297,0.0005186842930499636,-0.49958409269249593,0.0006445063145376403,-19.67863693325627
bitch,3858,8377,3101,0.0004891524302794288,0.0007378165104348335,-0.4112697500160891,0.00044214755963422,-19.558842567920596
shopping,14834,87,245,5.080131483145554e-06,5.829250082442251e-05,-2.4401892296428365,0.015576179545744862,-19.552083064740597
annoying,2745,368,378,2.1488372250546714e-05,8.993700127196616e-05,-1.43166574645816,0.005363189790270071,-19.549247788619393
south,15405,552,464,3.223255837582007e-05,0.00011039885870421243,-1.23120073326829,0.003967062588082331,-19.54764031820346
most beautiful,11613,88,245,5.138523799043779e-06,5.829250082442251e-05,-2.42876047711837,0.015445563075460095,-19.542621214888428
can t,4448,1900,1000,0.00011094540020662705,0.00023792857479356126,-0.7630592226302273,0.0015266119997741205,-19.5296252544259
bodyguard,3973,32,290,1.8685541087431924e-06,6.899928669013277e-05,-3.6089977726440807,0.034698557276576815,-19.37451792156377
scarlet,14416,13,713,7.591001066769219e-07,0.00016964307382780918,-5.409484429736244,0.07832569634793476,-19.328748837571474
🌕,19678,104,244,6.072800853415375e-06,5.805457224962895e-05,-2.25761525865566,0.01371403982354,-19.278233162241804
outfit,12992,194,286,1.1328109284255604e-05,6.804757239095852e-05,-1.7929763752358667,0.008651438136340084,-19.276599036247603
17,605,247,312,1.4422902026861516e-05,7.423371533559111e-05,-1.6384606816210514,0.007254006841580554,-19.23742960285208
season 9,14555,39,259,2.2773003200307656e-06,6.162350087153238e-05,-3.29811149843891,0.029502316443361355,-19.201593666813274
vegan ?,18071,379,375,2.2130687725427184e-05,8.922321554758547e-05,-1.3942429572259876,0.005305484939958363,-19.141497736108533
on <pronoun>,12609,4322,1810,0.0002523715893121274,0.0004306507203763459,-0.5345730586072044,0.0007841568864961315,-19.08998499423607
burp,4242,422,393,2.464155730905085e-05,9.350592989386958e-05,-1.333659212035064,0.00491449339107228,-19.024160069304397
fake,6640,2060,1039,0.00012028817075034301,0.00024720778921051014,-0.7204657806384862,0.0014481970186601396,-18.93213243374683
cauliflower,4544,48,235,2.802831163114789e-06,5.59132150764869e-05,-2.9932234342940855,0.025088942817345312,-18.897221599195188
and ball,2511,22,341,1.2846309497609448e-06,8.113364400460439e-05,-4.1457051916033,0.048387357803821876,-18.846576053490676
chili klaus,4708,319,339,1.86271487715337e-05,8.065778685501727e-05,-1.4656570716880761,0.006084944515109138,-18.78901687719655
fun,7323,3589,1553,0.00020957002175872868,0.00036950307665440063,-0.5672610385021866,0.0009228404501692408,-18.673238514711443
hotter,8865,1303,752,7.608518761538686e-05,0.00017892228824475806,-0.8552006902920155,0.002097543083131345,-18.672935530904475
dirty dick,5610,286,320,1.6700202346892283e-05,7.61371439339396e-05,-1.517174653200259,0.006621799211597483,-18.644364060224923
i would,9156,6471,2468,0.00037785667617741244,0.0005872077225905092,-0.4410730461836927,0.0005600184100795958,-18.63843171338284
cock and,4843,17,411,9.92669370269821e-07,9.778864424015369e-05,-4.590261578679719,0.061256846225337454,-18.546421170306274
wow,19123,6551,2487,0.0003825280614492704,0.0005917283655115868,-0.43645490208593607,0.0005550357288185821,-18.525882509377293
dua,5941,24,296,1.4014155815573944e-06,7.042685813889414e-05,-3.9171601165221386,0.04504531516390221,-18.45637939357124
xan,19167,89,220,5.196916114942004e-06,5.234428645458348e-05,-2.3098242675008525,0.01578170380687143,-18.386624030397233
<pronoun> beautiful,1095,38,231,2.218908004132541e-06,5.4961500777312655e-05,-3.2096700566759413,0.030645081166132408,-18.334961514527
ugly,17885,936,599,5.465520768073838e-05,0.0001425192163013432,-0.9585200766438486,0.0027381212253843644,-18.317866007447368
woman on,19007,101,223,5.897623905720701e-06,5.3058072178964167e-05,-2.196884373256296,0.014385589570907367,-18.316536972462416
celebrity,4555,2252,1087,0.00013149949540280218,0.0002586283608006011,-0.6765161651024432,0.0013643091617401928,-18.315626582440053
girl !,7691,33,242,1.9269464246414174e-06,5.757871510004183e-05,-3.3972715197619543,0.03443554598266229,-18.307404263698437
person,13206,6754,2538,0.00039438170157661003,0.0006038627228260585,-0.42623717916152515,0.0005423678514025623,-18.30224478192705
tyra,17849,65,213,3.7955005333846098e-06,5.067878643102855e-05,-2.591737680127425,0.020079744026163714,-18.289926351470783
widow,18765,19,346,1.1094540020662705e-06,8.23232868785722e-05,-4.306866200951427,0.055522001150182416,-18.27800638056324
red dead,13905,113,227,6.5983316964993985e-06,5.400978647813841e-05,-2.1023955798974576,0.013255138642017494,-18.26090501684713
obnoxious,12367,281,309,1.640824076740116e-05,7.351992961121044e-05,-1.4998297519820412,0.006795260515135744,-18.194449033919128
share a,14719,79,213,4.612992955959757e-06,5.067878643102855e-05,-2.396676310369495,0.017353357366593124,-18.193557509639746
😍 <pronoun>,19887,99,219,5.780839273924251e-06,5.2106357879789916e-05,-2.198784163103223,0.014667514648132244,-18.155337846572774
lovely,10972,406,367,2.3707280254679254e-05,8.731978694923698e-05,-1.3038583530574943,0.005188145681557391,-18.101907127238153
lipa,10675,22,293,1.2846309497609448e-06,6.971307241451345e-05,-3.993984004697582,0.048867780388874134,-18.06737316092049
poe,13401,19,330,1.1094540020662705e-06,7.851642968187522e-05,-4.259516312799093,0.05566213283989692,-18.054287920855863
dua lipa,5942,22,292,1.2846309497609448e-06,6.947514383971989e-05,-3.9905649621469355,0.04887946873602827,-18.04974815156713
charlize,4639,194,262,1.1328109284255604e-05,6.233728659591305e-05,-1.7053233662337703,0.00897172852518305,-18.00398659297419
lil xan,10653,85,209,4.963346851349105e-06,4.972707213185431e-05,-2.304513703292683,0.016549688987078603,-17.91366204224219
<pronoun> ?,1052,716,499,4.180889818312893e-05,0.00011872635882198707,-1.0437889261024402,0.0034009520723506637,-17.89832662064286
can i,4434,1972,975,0.00011514964695129923,0.00023198036042372224,-0.7005368975474742,0.0015330366190050852,-17.891829474094585
security guard,14585,18,334,1.0510616861680457e-06,7.946814398104946e-05,-4.325632826934962,0.058549812786003,-17.876681270926685
this person,17167,102,214,5.956016221618926e-06,5.091671500582211e-05,-2.1458341267783254,0.014477113350609113,-17.834262740247976
dirty,5609,891,569,5.202755346531826e-05,0.00013538135905753637,-0.9564054508256277,0.00288009975838363,-17.82125470425491
woman !,19000,21,283,1.22623863386272e-06,6.733378666657784e-05,-4.005775980453098,0.051152880362346186,-17.711347798760176
nude,12335,32,223,1.8685541087431924e-06,5.3058072178964167e-05,-3.3462727786606727,0.03573458935025614,-17.70178015057568
<pronoun> a,1053,5786,2209,0.0003378579397871285,0.0005255842217189769,-0.44207266920865784,0.0006258208754597967,-17.67130582323457
chemistry,4673,390,351,2.2773003200307658e-05,8.351292975254001e-05,-1.299486276475676,0.005413401244723691,-17.66186610968953
️ ❤,19655,1213,689,7.082987918454664e-05,0.0001639327880327637,-0.8392685708941521,0.0022760772337151805,-17.591685915362138
smash,15105,668,472,3.9006067020014144e-05,0.00011230228730256092,-1.0575501861193803,0.003615946045952894,-17.586929197045706
johansson,9950,48,198,2.802831163114789e-06,4.710985780912513e-05,-2.8218961849660733,0.025884129415820852,-17.53978441787281
ship,14742,329,320,1.9211071930515946e-05,7.61371439339396e-05,-1.3771062154972409,0.0061648094396036975,-17.53911235299872
to hold,17492,92,204,5.3720930626366785e-06,4.85374292578865e-05,-2.201160539559929,0.015771820361248783,-17.52712999026448
who ?,18660,575,431,3.357558164147924e-05,0.0001025472157360249,-1.1165930921208638,0.004059612000252357,-17.52478396386301
sneaker shopping,15136,42,201,2.45247726772544e-06,4.7823643533505814e-05,-2.9704664865821098,0.028784937779245897,-17.508220576878216
<pronoun> face,1183,1684,859,9.83326599726105e-05,0.00020438064574766914,-0.7317338982923474,0.0017582647535109796,-17.45062715050926
<pronoun> annoy,1076,56,193,3.2699696903005866e-06,4.5920214935157326e-05,-2.642167040564516,0.023038782303186647,-17.407263769607077
