season,episode,overall,guest,female_flag,notes,result,url_status,video_id,video_url,video_title,channel_title,done,name_filter,n_comments,mean,variance,positive_ratio,mean_nozero,variance_nozero,mean_1000,variance_1000,positive_ratio_1000,mean_nozero_1000,variance_nozero_1000,mean_toxicity,mean_severe_toxicity,var_toxicity,var_severe_toxicity,mean_toxicity_1000,mean_severe_toxicity_1000,var_toxicity_1000,var_severe_toxicity_1000
2,29,37,Hasan Minhaj,0,,1,verified,C4TcwIJCyBU,https://www.youtube.com/watch?v=C4TcwIJCyBU,Hasan Minhaj Has an Out-of-Body Experience Eating Spicy Wings | Hot Ones,First We Feast,1,"hasan, minhaj",2119,0.105819443,0.209577605,1.669172932,0.157909437,0.304517417,0.0804212,0.207245249,1.449438202,0.122968196,0.311656833,0.333393003,0.220455108,0.091762913,0.062650345,0.356559045,0.239042285,0.09732264,0.067068974
2,30,38,Kevin Hart,0,,1,verified,GTW8IplsKmM,https://www.youtube.com/watch?v=GTW8IplsKmM,Kevin Hart Catches a High Eating Spicy Wings | Hot Ones,First We Feast,1,"kevin, hart",10138,0.084114421,0.199402519,1.525333333,0.128639614,0.2992267,0.1260748,0.189651614,1.958333333,0.197300156,0.282741614,0.309393637,0.197685236,0.085387348,0.055759406,0.271604724,0.168767936,0.078417378,0.04816156
2,31,39,Martin Garrix,0,,1,verified,ztUKJ414jtk,https://www.youtube.com/watch?v=ztUKJ414jtk,Martin Garrix Tests His Limits Eating Spicy Wings | Hot Ones,First We Feast,1,"martin, garrix",3070,0.203341661,0.178353981,3.25813449,0.318012685,0.242466793,0.1928702,0.194728895,2.951807229,0.294009451,0.267106931,0.238269614,0.161756121,0.062895194,0.042074447,0.255296446,0.172082723,0.067798934,0.0455236
2,32,40,Bobby Lee,0,,1,verified,rqyE-7Y55kU,https://www.youtube.com/watch?v=rqyE-7Y55kU,Bobby Lee Has an Accident Eating Spicy Wings | Hot Ones,First We Feast,1,"bobby, lee",6119,0.115947639,0.209398148,1.712807245,0.169166333,0.29650679,0.1366423,0.205885359,1.884615385,0.202433037,0.291697129,0.378933795,0.255442481,0.109762024,0.070387989,0.350676118,0.238443303,0.106548035,0.067841577
2,33,41,Tony Hawk,0,,1,verified,wUISWzxttrI,https://www.youtube.com/watch?v=wUISWzxttrI,Tony Hawk Eats Spicy Wings LIVE at ComplexCon | Hot Ones,First We Feast,1,"tony, hawk",1420,0.138338732,0.193174142,1.937304075,0.209648879,0.277800475,0.1312352,0.194747984,1.797468354,0.197941478,0.280533594,0.288067525,0.185810375,0.077330643,0.051300767,0.293689737,0.189392277,0.079878819,0.051981854
2,34,42,Action Bronson,0,,1,verified,7p_mzgO0d0k,https://www.youtube.com/watch?v=7p_mzgO0d0k,Action Bronson Blows His High Eating Spicy Wings | Hot Ones,First We Feast,1,"action, bronson",6212,0.037677447,0.221835164,1.198776758,0.054254126,0.318535055,0.0585359,0.195811201,1.373076923,0.094871799,0.313912879,0.432724344,0.305116607,0.122606916,0.089073954,0.378996535,0.268257853,0.119629253,0.0816044
2,35,43,T-Pain,0,,1,verified,O0g2EtKFAcA,https://www.youtube.com/watch?v=O0g2EtKFAcA,T-Pain Has a Tongue Seizure Eating Spicy Wings | Hot Ones,First We Feast,1,"t-pain, tpain",3701,0.1049184,0.210517023,1.641237113,0.151562451,0.297038048,0.1137256,0.21396517,1.624535316,0.161084419,0.295438046,0.303274066,0.204368486,0.085361214,0.055679433,0.291549201,0.19587078,0.0833581,0.055247815
2,36,44,Rachael Ray,1,,1,verified,t69oHRPb4E8,https://www.youtube.com/watch?v=t69oHRPb4E8,Rachael Ray Mainlines Hot Sauce for Thanksgiving | Hot Ones,First We Feast,1,"rachael, rachel, rachael, ray",6067,0.114441965,0.212220341,1.699742268,0.165708687,0.298793635,0.0929185,0.214283906,1.568093385,0.140785606,0.317933585,0.382286334,0.259345756,0.095565553,0.067806649,0.380243271,0.261338528,0.101218484,0.071681399
2,37,45,Tom Colicchio,0,,1,verified,NpqUIwwQ_vU,https://www.youtube.com/watch?v=NpqUIwwQ_vU,Tom Colicchio Goes Full Top Chef on Some Spicy Wings | Hot Ones,First We Feast,1,"tom, colicchio, colichio",1831,0.208790169,0.198648579,2.961904762,0.306325962,0.261569008,0.2192786,0.178098292,3.370860927,0.332240303,0.232315466,0.25282212,0.163610418,0.073806363,0.047884942,0.23617187,0.151261505,0.06926571,0.044025674
2,38,46,Post Malone,0,,1,verified,eCEG4QyQbF4,https://www.youtube.com/watch?v=eCEG4QyQbF4,Post Malone Sauces on Everyone While Eating Spicy Wings | Hot Ones,First We Feast,1,"post, malone",19447,0.146560997,0.178134048,2.213308785,0.233295547,0.263318693,0.0782657,0.191836889,1.58677686,0.12502508,0.300602609,0.307291789,0.206172161,0.091267047,0.058342615,0.332724332,0.224678749,0.100880277,0.066275488
